beam_size,claim_boundary,decoder_type,figure,mean_runtime_seconds_per_score,parallel_fifths_per_100_timesteps,parallel_octaves_per_100_timesteps,raw_source_file,rule_reduction_vs_argmax_per_100,rule_reduction_vs_argmax_percent,rule_violations_per_100_timesteps,score_count,seed_count,source_file,task,top_k,total_length,total_runtime_seconds,variant_id,variant_label
0,full-test decoder analysis for one trained CIH checkpoint; automatic rule diagnostics only; no expert rating,none,Figure 5,0.002235997317207826,1.503354371657943,3.2804003228110377,results\constraint_decoder_analysis.csv,0.0,0.0,11.805494417101562,37,1 checkpoint full test,results\constraint_decoder_analysis_summary.csv,soprano_to_satb,0,7588,0.08273190073668957,neural_argmax,Neural argmax
0,full-test decoder analysis for one trained CIH checkpoint; automatic rule diagnostics only; no expert rating,local_rule_repair,Figure 5,0.01310832702831642,1.503354371657943,3.2804003228110377,results\constraint_decoder_analysis.csv,0.5567286036036059,4.715843182282336,11.248765813497956,37,1 checkpoint full test,results\constraint_decoder_analysis_summary.csv,soprano_to_satb,0,7588,0.48500810004770756,local_rule_repair,Local repair
2,full-test decoder analysis for one trained CIH checkpoint; automatic rule diagnostics only; no expert rating,cih_beam,Figure 5,1.5030029918872625,0.17615830115830114,0.398802351927352,results\constraint_decoder_analysis.csv,-4.658514044674755,-39.4605586185902,16.464008461776316,37,1 checkpoint full test,results\constraint_decoder_analysis_summary.csv,soprano_to_satb,4,7588,55.611110699828714,beam_b2_k4,"Beam b=2, k=4"
4,full-test decoder analysis for one trained CIH checkpoint; automatic rule diagnostics only; no expert rating,cih_beam,Figure 5,6.302573097303409,0.16912001287001288,0.3548401204651205,results\constraint_decoder_analysis.csv,-3.1473662277233725,-26.660181408108286,14.952860644824934,37,1 checkpoint full test,results\constraint_decoder_analysis_summary.csv,soprano_to_satb,8,7588,233.19520460022613,beam_b4_k8,"Beam b=4, k=8"
8,full-test decoder analysis for one trained CIH checkpoint; automatic rule diagnostics only; no expert rating,cih_beam,Figure 5,27.689205899998242,0.1429777992277992,0.3040681165681166,results\constraint_decoder_analysis.csv,-1.202746236228375,-10.188020880227297,13.008240653329937,37,1 checkpoint full test,results\constraint_decoder_analysis_summary.csv,soprano_to_satb,12,7588,1024.500618299935,beam_b8_k12,"Beam b=8, k=12"
