figure,panel,plotted,run,model_label,epoch,train_loss,val_loss,val_accuracy,selection_role,excluded_reason,seed,source_file,script,command,generated_at,hardware,os,python_version,torch_version
project1_training_curves,a-b,yes,chorale_lstm,LSTM,15,0.901610476405997,0.9086905002593995,0.7539183378219605,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,16,0.8846872103841681,0.8849666953086853,0.7646635174751282,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,17,0.8771779568571794,0.8674307942390442,0.7637401342391967,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,18,0.8558417715524372,0.8610880017280579,0.7668627619743347,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,19,0.850534682211123,0.8419962286949157,0.7686590790748596,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,20,0.8323863023205808,0.8347461581230163,0.7677683115005494,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,1,1.565259663682235,1.3299814462661743,0.712219500541687,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,2,1.1317867087690454,1.028417432308197,0.725897204875946,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,3,1.0016716702988273,1.003446912765503,0.720234477519989,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
project1_training_curves,a-b,yes,chorale_lstm,LSTM,4,0.9898403177135869,1.0014461517333983,0.7199285745620727,selected comparable training history,,2026,runs\chorale_lstm\metrics.csv,src/chorale/plot_results.py,python -m chorale.plot_results,2026-07-05T22:35:50,NVIDIA GeForce RTX 4060 Ti 16GB; Intel i5-12400F; 16GB RAM; Windows 11 Professional 64-bit,Windows-10-10.0.26200-SP0,3.11.9,2.11.0+cu128
