seed,model,task,rule_guided_decoding,config_path,run_dir,checkpoint,source,fast_dev_run,best_epoch,best_val_loss,device,pitch_accuracy,cross_entropy,soprano_accuracy,alto_accuracy,tenor_accuracy,bass_accuracy,rule_violations_per_100_timesteps,parallel_fifths_per_100_timesteps,parallel_octaves_per_100_timesteps,seventh_resolution_violation_rate,cadence_unknown_rate,musicxml_export_success_rate,evaluated_generations
2026,cih_s2s_transformer_4060ti_16gb,soprano_to_satb,False,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,trained_multiseed,False,13,0.4964976817369461,cuda,0.8285011421542787,0.5716407597064972,0.0,0.8350026357406432,0.8166842382709542,0.8338165524512388,12.770163415919873,0.13178703215603585,0.28993147074327885,0.008697944122298365,0.24324324324324326,1.0,37
2027,cih_s2s_transformer_4060ti_16gb,soprano_to_satb,False,runs\cih_s2s_formal_multiseed\seed_2027\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2027,runs\cih_s2s_formal_multiseed\seed_2027\best.pt,trained_multiseed,False,14,0.5045648038387298,cuda,0.8290722192936215,0.5795048832893371,0.0,0.8372430152872957,0.8153663679493938,0.8346072746441751,16.051660516605168,0.05271481286241434,0.3294675803900896,0.008170795993674223,0.16216216216216217,1.0,37
2028,cih_s2s_transformer_4060ti_16gb,soprano_to_satb,False,runs\cih_s2s_formal_multiseed\seed_2028\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2028,runs\cih_s2s_formal_multiseed\seed_2028\best.pt,trained_multiseed,False,13,0.4860455721616745,cuda,0.8341679845369883,0.5462471097707748,0.0,0.8408012651555087,0.819847127042699,0.841855561412757,14.588824459673168,0.03953610964681075,0.3953610964681075,0.010542962572482868,0.1891891891891892,1.0,37
