seed,model,task,rule_guided_decoding,config_path,run_dir,checkpoint,source,fast_dev_run,best_epoch,best_val_loss,device,pitch_accuracy,cross_entropy,soprano_accuracy,alto_accuracy,tenor_accuracy,bass_accuracy,rule_violations_per_100_timesteps,parallel_fifths_per_100_timesteps,parallel_octaves_per_100_timesteps,seventh_resolution_violation_rate,cadence_unknown_rate,musicxml_export_success_rate,evaluated_generations
2026,transformer_no_constraints,soprano_to_satb,False,runs\vanilla_transformer_formal_multiseed\seed_2026\input_config.yaml,runs\vanilla_transformer_formal_multiseed\seed_2026,runs\vanilla_transformer_formal_multiseed\seed_2026\best.pt,trained_multiseed,False,12,0.7938236713409423,cuda,0.7680548234053769,0.8702847242355347,0.0,0.7801792303637322,0.7627833421191355,0.7612018977332631,14.575645756457565,2.6752767527675276,2.3985239852398523,0.029388508170795993,0.3783783783783784,1.0,37
2027,transformer_no_constraints,soprano_to_satb,False,runs\vanilla_transformer_formal_multiseed\seed_2027\input_config.yaml,runs\vanilla_transformer_formal_multiseed\seed_2027,runs\vanilla_transformer_formal_multiseed\seed_2027\best.pt,trained_multiseed,False,14,0.778702461719513,cuda,0.770778422069935,0.8725621700286865,0.0,0.7813653136531366,0.7680548234053769,0.7629151291512916,16.86874011597259,2.4117026884554558,2.293094359515024,0.03017923036373221,0.35135135135135137,1.0,37
2028,transformer_no_constraints,soprano_to_satb,False,runs\vanilla_transformer_formal_multiseed\seed_2028\input_config.yaml,runs\vanilla_transformer_formal_multiseed\seed_2028,runs\vanilla_transformer_formal_multiseed\seed_2028\best.pt,trained_multiseed,False,10,0.7908217310905457,cuda,0.7683623264804077,0.868777585029602,0.0,0.7813653136531366,0.7651555086979441,0.7585661570901423,14.549288350026357,3.202424881391671,2.3062730627306274,0.033473906167633107,0.3783783783783784,1.0,37
