source_file,config_path,checkpoint,seed,source_index,source_name,task,variant_id,variant_label,decoder_type,beam_size,top_k,max_row_candidates,lambda_rule,length,runtime_seconds,total_violations,rule_violations_per_100_timesteps,parallel_fifths_per_100_timesteps,parallel_octaves_per_100_timesteps,voice_crossing_per_100_timesteps,spacing_per_100_timesteps,seventh_resolution_violation_rate,cadence_unknown_rate,claim_boundary
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,26,Es spricht der Unweisen Mund,soprano_to_satb,local_rule_repair,Local repair,local_rule_repair,0,0,0,1.0,160,0.012242099968716502,27,16.875,2.5,7.5,0.0,0.0,0.01875,0.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,26,Es spricht der Unweisen Mund,soprano_to_satb,beam_b2_k4,"Beam b=2, k=4",cih_beam,2,4,24,1.0,160,1.1638571999501437,24,15.0,1.25,0.625,0.0,0.0,0.0,0.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,26,Es spricht der Unweisen Mund,soprano_to_satb,beam_b4_k8,"Beam b=4, k=8",cih_beam,4,8,48,1.0,160,5.548668599920347,25,15.625,1.25,0.625,0.0,0.0,0.0,0.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,26,Es spricht der Unweisen Mund,soprano_to_satb,beam_b8_k12,"Beam b=8, k=12",cih_beam,8,12,96,1.0,160,23.900740599958226,24,15.0,1.25,1.25,0.0,0.0,0.0,0.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,27,"Nun komm, der Heiden Heiland",soprano_to_satb,neural_argmax,Neural argmax,none,0,0,0,1.0,128,0.0019384000916033983,17,13.28125,3.125,3.90625,0.0,0.0,0.0,0.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,27,"Nun komm, der Heiden Heiland",soprano_to_satb,local_rule_repair,Local repair,local_rule_repair,0,0,0,1.0,128,0.009128900012001395,17,13.28125,3.125,3.90625,0.0,0.0,0.0,0.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,27,"Nun komm, der Heiden Heiland",soprano_to_satb,beam_b2_k4,"Beam b=2, k=4",cih_beam,2,4,24,1.0,128,0.8146768999285996,23,17.96875,0.78125,0.0,0.0,0.0,0.0078125,0.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,27,"Nun komm, der Heiden Heiland",soprano_to_satb,beam_b4_k8,"Beam b=4, k=8",cih_beam,4,8,48,1.0,128,4.341772899962962,21,16.40625,0.78125,0.0,0.0,0.0,0.0078125,1.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,27,"Nun komm, der Heiden Heiland",soprano_to_satb,beam_b8_k12,"Beam b=8, k=12",cih_beam,8,12,96,1.0,128,19.11298149987124,17,13.28125,0.0,0.0,0.0,0.0,0.0078125,1.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,49,In allen meinen Taten,soprano_to_satb,neural_argmax,Neural argmax,none,0,0,0,1.0,192,0.0019268998876214027,26,13.541666666666666,2.0833333333333335,4.6875,1.0416666666666667,0.0,0.0,0.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
results\constraint_decoder_analysis.csv,runs\cih_s2s_formal_multiseed\seed_2026\input_config.yaml,runs\cih_s2s_formal_multiseed\seed_2026\best.pt,2026,49,In allen meinen Taten,soprano_to_satb,local_rule_repair,Local repair,local_rule_repair,0,0,0,1.0,192,0.012589800171554089,25,13.020833333333334,2.0833333333333335,4.6875,0.0,0.0,0.0,0.0,full-test decoder analysis for a trained CIH checkpoint; automatic rule diagnostics only
