variant_id,variant_label,decoder_type,beam_size,top_k,score_count,total_length,mean_runtime_seconds_per_score,total_runtime_seconds,rule_violations_per_100_timesteps,parallel_fifths_per_100_timesteps,parallel_octaves_per_100_timesteps,claim_boundary,rule_reduction_vs_argmax_per_100,rule_reduction_vs_argmax_percent
beam_b2_k4,"Beam b=2, k=4",cih_beam,2,4,37,7588,1.5030029918872625,55.611110699828714,16.464008461776316,0.17615830115830114,0.398802351927352,full-test decoder analysis; automatic rule diagnostics only,-4.658514044674755,-39.4605586185902
beam_b4_k8,"Beam b=4, k=8",cih_beam,4,8,37,7588,6.302573097303409,233.19520460022613,14.952860644824934,0.16912001287001288,0.3548401204651205,full-test decoder analysis; automatic rule diagnostics only,-3.1473662277233725,-26.660181408108286
beam_b8_k12,"Beam b=8, k=12",cih_beam,8,12,37,7588,27.689205899998242,1024.500618299935,13.008240653329937,0.1429777992277992,0.3040681165681166,full-test decoder analysis; automatic rule diagnostics only,-1.202746236228375,-10.188020880227297
local_rule_repair,Local repair,local_rule_repair,0,0,37,7588,0.01310832702831642,0.48500810004770756,11.248765813497956,1.503354371657943,3.2804003228110377,full-test decoder analysis; automatic rule diagnostics only,0.5567286036036059,4.715843182282336
neural_argmax,Neural argmax,none,0,0,37,7588,0.002235997317207826,0.08273190073668957,11.805494417101562,1.503354371657943,3.2804003228110377,full-test decoder analysis; automatic rule diagnostics only,0.0,0.0
