seed,model,task,rule_guided_decoding,config_path,run_dir,checkpoint,source,fast_dev_run,best_epoch,best_val_loss,device,pitch_accuracy,cross_entropy,soprano_accuracy,alto_accuracy,tenor_accuracy,bass_accuracy,rule_violations_per_100_timesteps,parallel_fifths_per_100_timesteps,parallel_octaves_per_100_timesteps,seventh_resolution_violation_rate,cadence_unknown_rate,musicxml_export_success_rate,evaluated_generations
2026,proposed_neural_symbolic_rule_guided_enhanced,soprano_to_satb,True,configs\chorale_rule_guided_decoding.yaml,runs\chorale_rule_guided_decoding,runs\chorale_rule_guided_decoding\best.pt,existing_primary_metrics,False,15,0.5106587290763855,cuda,0.823273589878756,0.5942193388938903,0.0,0.8318397469688983,0.812335266209805,0.8256457564575646,3.782287822878229,0.0,0.0790722192936215,0.008302583025830259,0.40540540540540543,1.0,37
2027,proposed_neural_symbolic_rule_guided_enhanced,soprano_to_satb,True,runs\project1_multiseed\seed_2027\input_config.yaml,runs\project1_multiseed\seed_2027,runs\project1_multiseed\seed_2027\best.pt,trained_multiseed,False,16,0.5274831414222717,cuda,0.8241082410824109,0.6167974472045898,0.0,0.834870848708487,0.8111491829204006,0.8263046916183447,3.6373220875065893,0.0,0.03953610964681075,0.008039008961518187,0.35135135135135137,1.0,37
2028,proposed_neural_symbolic_rule_guided_enhanced,soprano_to_satb,True,runs\project1_multiseed\seed_2028\input_config.yaml,runs\project1_multiseed\seed_2028,runs\project1_multiseed\seed_2028\best.pt,trained_multiseed,False,14,0.5251235723495483,cuda,0.8215603584607275,0.610747492313385,0.0,0.8324986821296785,0.8103584607274644,0.8218239325250395,3.5450711649973643,0.02635740643120717,0.013178703215603585,0.007511860832894043,0.40540540540540543,1.0,37
